Type,Name,Published,Regular price,Categories,Images,Short description
simple,"Samsung Galaxy S26 Ultra, Unlocked Android Smartphone, 512GB, Black | Privacy Display, Galaxy AI, AI",1,1137.00,smartphones,https://m.media-amazon.com/images/I/61UnzIc+97L._AC_UY654_QL65_.jpg,Rating: 4.7/5 | Reviews: 1588
simple,"Samsung Galaxy A17 5G Smart Phone 128GB US 1 Yr Manufacturer Warranty Black | Large AMOLED, High-Res",1,199.99,smartphones,https://m.media-amazon.com/images/I/71Ss7HzbhUL._AC_UY654_QL65_.jpg,Rating: 4.1/5 | Reviews: 1532
simple,"Samsung Galaxy S26 Ultra, Unlocked Android Smartphone, 256GB, Black | Privacy Display, Galaxy AI, AI",1,1049.99,smartphones,https://m.media-amazon.com/images/I/61PnYmF7ZtL._AC_UY654_QL65_.jpg,Rating: 4.7/5 | Reviews: 1588
simple,"Google Pixel 10a - 30+ Hours Battery, Camera Coach, Gemini - Obsidian 128GB | Gemini Live, durable d",1,499.00,smartphones,https://m.media-amazon.com/images/I/61-Uqovhk0L._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 640
simple,"Apple iPhone 16 Pro Max, 512GB, Black Titanium - Unlocked (Renewed)",1,878.95,smartphones,https://m.media-amazon.com/images/I/51Vs7ZwpSpL._AC_UY654_QL65_.jpg,Rating: 4.2/5 | Reviews: 3714
simple,"Samsung Galaxy S25+ Cell Phone, 256GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon",1,679.99,smartphones,https://m.media-amazon.com/images/I/61YvMOsT47L._AC_UY654_QL65_.jpg,Rating: 4.6/5 | Reviews: 888
simple,"Apple iPhone 16e, 128GB, Black - Unlocked (Renewed)",1,385.75,smartphones,https://m.media-amazon.com/images/I/51H8+zCj2cL._AC_UY654_QL65_.jpg,Rating: 4.3/5 | Reviews: 1712
simple,"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7&quot;,",1,143.79,smartphones,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_UY654_QL65_.jpg,Rating: 4.3/5 | Reviews: 5263
simple,BLU G35 | 2025 | Unlocked | 6.5” HD+ Infinity Display | Dual 8MP Camera + LED Flash 5MP Selfie Camer,1,64.99,smartphones,https://m.media-amazon.com/images/I/7124o-sbmzL._AC_UY654_QL65_.jpg,Rating: 3.4/5 | Reviews: 340
simple,"Samsung Galaxy A17 5G Smart Phone 128GB, US 1 Yr Manufacturer Warranty Blue | Large AMOLED, High-Res",1,199.99,smartphones,https://m.media-amazon.com/images/I/710u7UnAyWL._AC_UY654_QL65_.jpg,Rating: 4.1/5 | Reviews: 1532
simple,"Hybrid Active Noise Cancelling Bluetooth Headphones Wireless Headphones | Over Ear, 120H Playtime, H",1,29.99,headphones,https://m.media-amazon.com/images/I/61eQgGlycYL._AC_UY654_QL65_.jpg,Rating: 4.6/5 | Reviews: 285
simple,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and",1,29.95,headphones,https://m.media-amazon.com/images/I/61kFL7ywsZS._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 92947
simple,"Apple AirPods Pro 3 Wireless Earbuds, Active Noise Cancellation, Live Translation, Heart Rate Sensin",1,199.99,headphones,https://m.media-amazon.com/images/I/61solmQSSlL._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 12583
simple,"Beats Solo 4 - Wireless On-Ear Bluetooth Headphones, Up to 50-Hour Battery Life, Ultra-Lightweight C",1,129.95,headphones,https://m.media-amazon.com/images/I/515FE+S4yLL._AC_UY654_QL65_.jpg,Rating: 4.6/5 | Reviews: 28079
simple,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",1,9.99,headphones,https://m.media-amazon.com/images/I/41CiQ7hR31L._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 100226
simple,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive, Tr",1,144.99,headphones,https://m.media-amazon.com/images/I/61iBtxCUabL._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 22930
simple,"BUGANI Open Ear Earbuds, Open Ear Headphones, Running Earbuds Wireless | Headphones Bluetooth Wirele",1,59.99,headphones,https://m.media-amazon.com/images/I/61mLE06p-xL._AC_UY654_QL65_.jpg,Rating: 5/5 | Reviews: 2
simple,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Black | Over-Ear, Bluetooth, 40H ",1,39.98,headphones,https://m.media-amazon.com/images/I/51CnDMbXZzL._AC_UY654_QL65_.jpg,Rating: 4.6/5 | Reviews: 70613
simple,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Pink | Over-Ear, Bluetooth, 40H A",1,44.99,headphones,https://m.media-amazon.com/images/I/613wL6XbeBL._AC_UY654_QL65_.jpg,Rating: 4.6/5 | Reviews: 70613
simple,Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone an,1,29.99,headphones,https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UY654_QL65_.jpg,Rating: 4.4/5 | Reviews: 16298
simple,"PS5 - Sony PlayStation 5 Digital Edition Gaming Console + Wireless Controller - 16GB GDDR6 RAM, 825G",1,624.90,gaming consoles,https://m.media-amazon.com/images/I/616X8zng9wS._AC_UY654_QL65_.jpg,Rating: 4.6/5 | Reviews: 397
simple,Nintendo Switch with Neon Blue and Neon Red Joy-Con - Handheld Gaming Console,1,337.99,gaming consoles,https://m.media-amazon.com/images/I/71wpE+ZIehL._AC_UY654_QL65_.jpg,Rating: 4.7/5 | Reviews: 10565
simple,PlayStation 5 Portal Remote Player,1,29.99,gaming consoles,https://m.media-amazon.com/images/I/61S0ZRxKJFL._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 7049
simple,Lenovo Legion Go S - 2025 - Mobile Gaming Console - AMD Radeon graphics - 8&quot; PureSight IPS Disp,1,849.99,gaming consoles,https://m.media-amazon.com/images/I/71axrw7z6WL._AC_UY654_QL65_.jpg,Rating: 4.1/5 | Reviews: 196
simple,Nintendo Switch Lite - Turquoise,1,229.00,gaming consoles,https://m.media-amazon.com/images/I/61owpat34dL._AC_UY654_QL65_.jpg,Rating: 4.8/5 | Reviews: 59333
simple,"Sony PlayStation 5 PS5 Disc Version Gaming Console, 4K Blu-ray Player, 16GB GDDR6 Memory, Ultra-High",1,654.99,gaming consoles,https://m.media-amazon.com/images/I/61BF3G-d1SS._AC_UY654_QL65_.jpg,Rating: 4.2/5 | Reviews: 22
simple,"Nintendo Wii Console, White Premium Bundle (Renewed)",1,134.00,gaming consoles,https://m.media-amazon.com/images/I/61OI1MNjZZL._AC_UY654_QL65_.jpg,Rating: 3.8/5 | Reviews: 1902
simple,X-Box Series X Gaming Console Bundle - 1TB SSD Black X-Box Console with Two Wireless Controllers -Bl,1,690.00,gaming consoles,https://m.media-amazon.com/images/I/51GejAEQT2L._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 195
simple,"2025 Upgraded Retro Gaming Console, 4K HDMI Video Game Consoles with 40,000+ Games &amp; 23 Emulator",1,39.99,gaming consoles,https://m.media-amazon.com/images/I/71K9RJk8eIL._AC_UY654_QL65_.jpg,Rating: 2.9/5 | Reviews: 537
simple,"My Arcade Atari Game Station Pro: Retro Video Game Console with 200+ Games, Wireless Joysticks, RGB ",1,99.00,gaming consoles,https://m.media-amazon.com/images/I/71BsGaR3TxL._AC_UY654_QL65_.jpg,Rating: 3.8/5 | Reviews: 1253
